garmin_product,manufacturer,number,serial_number,time_created,type,unknown_6,software_version,timestamp,version,unknown_0,unknown_1,unknown_2,activity_type,cycles_to_calories,cycles_to_distance,local_timestamp,resting_metabolic_rate,unknown_7,unknown_8,unknown_35,unknown_36,unknown_37,unknown_38,enabled,unknown_253,data,data16,event,event_type,current_activity_type_intensity,intensity,stress_level_time,stress_level_value,unknown_3,unknown_4,heart_rate,timestamp_16,unknown_14,unknown_15,unknown_16,active_calories,active_time,cycles,descent,ascent,vigorous_activity_minutes,distance,moderate_activity_minutes,duration_min,steps,source_file,fit_type
,,,,,,,,,,1361.0,,,,,,,,,,,,,,,1057069020.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(40, 100, 0, 64)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-24,,,,,,,,,,,,,,,,,,,,2023-06-30 14:18:00,43.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,1282.0,,,,,,,,,,,,,,,1057069080.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,7264.0,,,,,,,,,,,,,,,1057069080.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(12, 0, 4, 240)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-42,,,,,,,,,,,,,,,,,,,,2023-06-30 14:19:00,57.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,1355.0,,,,,,,,,,,,,,,1057069140.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(4, 0, 0, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-50,,,,,,,,,,,,,,,,,,,,2023-06-30 14:20:00,63.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,1481.0,,,,,,,,,,,,,,,1057069200.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,39056.0,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,7264.0,,,,,,,,,,,,,,,1057069200.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(0, 12, 1, 176)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-44,,,,,,,,,,,,,,,,,,,,2023-06-30 14:21:00,58.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,1538.0,,,,,,,,,,,,,,,1057069260.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,39116.0,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(0, 0, 0, 80)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-41,,,,,,,,,,,,,,,,,,,,2023-06-30 14:22:00,56.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,1580.0,,,,,,,,,,,,,,,1057069320.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,39176.0,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,7264.0,,,,,,,,,,,,,,,1057069320.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(27, 2, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-55,,,,,,,,,,,,,,,,,,,,2023-06-30 14:23:00,66.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,1616.0,,,,,,,,,,,,,,,1057069380.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,39236.0,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(2, 32, 19, 11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-35,,,,,,,,,,,,,,,,,,,,2023-06-30 14:24:00,51.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,1607.0,,,,,,,,,,,,,,,1057069440.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,39296.0,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,7264.0,,,,,,,,,,,,,,,1057069440.0,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,"(72, 72, 0, 16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
,,,,,,,,,,,,-39,,,,,,,,,,,,,,,,,,,,2023-06-30 14:25:00,54.0,19.0,1.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,WELLNESS
