LocalDate,Sessions,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density_mean,Deadlift_Vol_kg,Olympic_Vol_kg,Other_Vol_kg,Press_Vol_kg,Squat_Vol_kg,UpperPullPush_Vol_kg,Deadlift_Top_kg,Olympic_Top_kg,Other_Top_kg,Press_Top_kg,Squat_Top_kg,UpperPullPush_Top_kg,Deadlift_Sets,Olympic_Sets,Other_Sets,Press_Sets,Squat_Sets,UpperPullPush_Sets
2025-03-25,1,20,33.0,847.5,42.5,21.5,1183.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-26,1,58,177.0,6140.0,45.0,36.46551724137931,3538.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-27,1,14,42.0,1240.0,60.0,42.857142857142854,720.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-28,1,48,77.0,805.0,37.5,7.916666666666667,2539.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-29,1,56,141.0,6225.0,75.0,46.69642857142857,4108.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-03-31,1,46,87.0,815.0,37.5,8.369565217391305,2682.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-01,2,114,251.0,7775.0,60.0,26.68424317617866,7147.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-03,2,98,259.0,5875.0,60.0,22.787224264705884,5793.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-06,2,125,250.0,7685.0,77.5,24.69324324324324,7262.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-08,1,32,99.0,3120.0,52.5,35.46875,1652.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-10,1,54,74.0,1240.0,60.0,11.11111111111111,2792.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-11,1,42,87.0,3065.0,50.0,36.785714285714285,2586.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-16,1,25,60.0,2700.0,82.5,42.916666666666664,1807.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-17,1,48,99.0,805.0,37.5,7.916666666666667,3008.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-18,1,48,120.0,3595.0,50.0,32.708333333333336,3508.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-19,1,54,128.0,4575.0,55.0,36.851851851851855,3505.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-21,1,18,42.0,1240.0,60.0,33.333333333333336,1149.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-22,1,46,119.0,3435.0,65.0,34.67391304347826,3547.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-25,1,52,137.0,5105.0,85.0,37.98076923076923,3381.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-26,1,56,135.0,4555.0,50.0,32.767857142857146,3335.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-04-28,1,46,78.0,1100.0,45.0,10.652173913043478,2543.8,0.0,1.0,,,,,1100.0,0.0,,,,,45.0,0.0,,,,,8.0,6.0
2025-04-29,1,44,130.0,4360.0,60.0,38.18181818181818,3152.7,0.0,1.0,,2650.0,,,1710.0,,,60.0,,,57.5,,,11.0,,,11.0,
2025-05-03,1,54,149.0,5055.0,60.0,37.592592592592595,4093.1,0.0,1.0,,3815.0,,,1240.0,,,50.0,,,60.0,,,19.0,,,8.0,
2025-05-06,1,54,153.0,5785.0,52.5,42.03703703703704,2887.5,0.0,1.0,,3100.0,1500.0,,1185.0,,,50.0,50.0,,52.5,,,13.0,6.0,,8.0,
2025-05-27,1,21,70.0,1460.0,60.0,32.5,3474.1000000000004,0.0,1.0,,,,,1460.0,,,,,,60.0,,,,,,7.0,
2025-05-29,1,48,146.0,3660.0,40.0,28.958333333333332,3078.0,0.0,1.0,,2600.0,,,1060.0,,,40.0,,,37.5,,,13.0,,,11.0,
2025-05-30,1,15,44.0,967.5,42.5,32.142857142857146,3026.8,0.0,1.0,,,,,967.5,,,,,,42.5,,,,,,8.0,
2025-06-01,1,38,90.0,2210.0,50.0,28.81578947368421,2714.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-06-03,1,20,38.0,1390.0,100.0,62.0,2127.2,0.0,1.0,,,,,1390.0,,,,,,100.0,,,,,,10.0,
2025-06-05,1,40,94.0,2675.0,60.0,40.0,2489.4,0.0,1.0,,1820.0,,,855.0,,,60.0,,,37.5,,,13.0,,,5.0,
2025-06-06,1,13,32.0,1000.0,60.0,40.0,3345.9,0.0,1.0,,,,,1000.0,,,,,,60.0,,,,,,6.0,
2025-06-09,1,20,44.0,1185.0,85.0,49.5,1706.8999999999999,0.0,1.0,,,,,1185.0,,,,,,85.0,,,,,,10.0,
2025-06-11,1,34,83.0,2690.0,60.0,41.76470588235294,2160.7,0.0,1.0,,,,,2690.0,,,,,,60.0,,,,,,17.0,
2025-06-13,1,1,7.0,0.0,,,3282.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-06-15,1,25,52.0,910.0,50.0,29.166666666666668,1593.5,0.0,1.0,,,,,910.0,,,,,,50.0,,,,,,11.0,
2025-06-19,1,1,4.0,0.0,,,1453.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-08,1,9,50.0,416.0,40.0,16.0,2048.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-10,1,34,104.0,4640.0,60.0,45.88235294117647,1875.4,0.0,1.0,,,,4640.0,,,,,,60.0,,,,,,16.0,,
2025-07-13,1,42,158.0,3390.0,60.0,25.714285714285715,2200.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-15,1,56,192.0,7400.0,70.0,43.42857142857143,2571.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-07-17,1,14,59.0,2200.0,50.0,41.42857142857143,2084.6,0.0,1.0,,,,2200.0,,,,,,50.0,,,,,,6.0,,
2025-07-20,1,34,150.0,1980.0,85.0,32.794117647058826,2608.5,0.0,1.0,,,,,1680.0,,,,,,85.0,,,,,,10.0,
2025-07-22,1,30,168.0,5660.0,100.0,50.666666666666664,2437.8,0.0,1.0,,,,,1460.0,,,,,,100.0,,,,,,8.0,
2025-07-24,1,25,67.0,1495.0,45.0,35.416666666666664,2186.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2025-08-14,1,22,69.0,2135.0,78.0,30.09090909090909,1925.1,0.0,1.0,,,,,1121.0,,,,,,73.0,,,,,,6.0,
2025-08-20,1,36,56.0,2750.0,170.0,80.55555555555556,2460.9,0.0,1.0,1030.0,,,480.0,1240.0,,170.0,,,90.0,100.0,,6.0,,,5.0,7.0,
2025-08-25,1,16,23.0,1130.0,70.0,56.25,773.4,0.0,1.0,,,,,1130.0,,,,,,70.0,,,,,,8.0,
